Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Norway,27-02-2022,"1,231,766","+5,900","1,598 ",,"88,952",,"1,141,216",21,"224,303",291,"9,852,076","1,794,054","5,491,516 ",Europe
Morocco,27-02-2022,"1,160,892",+142,"15,978 ",+8,"1,140,157",+464,"4,757",293,"30,845",425,"11,237,010"," 298,573","37,635,711 ",Africa
Bulgaria,27-02-2022,"1,088,520",+724,"35,482 ",+24,"834,344","+2,458","218,694",503,"158,637","5,171","9,165,927","1,335,807","6,861,717 ",Europe
Cuba,27-02-2022,"1,069,387",+630,"8,494 ", ,"1,058,160",+524,"2,733",34,"94,509",751,"12,920,253","1,141,854","11,315,153 ",North America
Lebanon,27-02-2022,"1,066,840","+1,533","10,079 ",+10,"682,977",,"373,784",186,"157,473","1,488","4,795,578","707,859","6,774,765 ",Asia
Croatia,27-02-2022,"1,054,596","+1,028","15,030 ",+18,"1,025,051","+3,105","14,515",106,"259,542","3,699","4,512,457","1,110,543","4,063,290 ",Europe
Tunisia,27-02-2022,"997,754",+666,"27,773 ",+30,"947,817","+1,311","22,164",222,"82,983","2,310","4,341,110","361,049","12,023,611 ",Africa
Nepal,27-02-2022,"976,865",+94,"11,935 ",+1,"956,413",+415,"8,517",100,"32,557",398,"5,416,391","180,516","30,005,122 ",Asia
Belarus,27-02-2022,"917,468"," +4,135","6,470 ",+16,"906,043","+4,975","4,955",,"97,147",685,"12,427,770","1,315,920","9,444,169 ",Europe
Lithuania,27-02-2022,"900,631","+3,436","8,413 ",+24,"806,472","+1,706","85,746",93,"338,671","3,164","7,741,924","2,911,251","2,659,312 ",Europe
Bolivia,27-02-2022,"893,223",+175,"21,426 ",+7,"787,320","+1,208","84,477",220,"74,829","1,795","2,669,468","223,631","11,936,919 ",South America
Slovenia,27-02-2022,"891,950",+901,"6,292 ",+15,"841,948","+4,292","43,710",108,"428,943","3,026","2,569,468","1,235,670","2,079,412 ",Europe
UAE,27-02-2022,"879,368",+622,"2,301 ",,"832,470","+1,665","44,597",,"87,166",228,"137,349,003","13,614,456","10,088,468 ",Asia
Uruguay,27-02-2022,"840,511","+2,170","6,977 ",+16,"809,798","+3,624","23,736",122,"240,580","1,997","5,698,831","1,631,178","3,493,690 ",South America
Ecuador,27-02-2022,"827,760",,"35,223 ",,N/A,N/A,N/A,759,"45,765","1,947","2,470,170","136,571","18,087,031 ",South America
