Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Channel Islands,28-02-2022,"51,002",+618,143 ,,"48,104",+471,"2,755",,"288,930",810,"1,209,938","6,854,396","176,520 ",Europe
Gabon,28-02-2022,"47,543",+9,303 ,,"46,561",+406,679,1,"20,557",131,"1,571,354","679,440","2,312,720 ",Africa
Papua New Guinea,28-02-2022,"41,290",+252,638 ,,"39,344",+488,"1,308",7,"4,475",69,"249,149","27,000","9,227,822 ",Australia/Oceania
Seychelles,28-02-2022,"39,336",,163 ,,"38,731",,442,,"395,910","1,641",,,"99,356 ",Africa
Curaçao,28-02-2022,"38,944",+11,261 ,,"38,386",+34,297,3,"235,730","1,580","492,011","2,978,167","165,206 ",North America
Burundi,28-02-2022,"38,063",,38 ,,773,,"37,252",,"3,051",3,"345,742","27,710","12,477,114 ",Africa
Andorra,28-02-2022,"37,999",,151 ,,"37,135",,713,14,"490,500","1,949","249,838","3,224,965","77,470 ",Europe
Togo,28-02-2022,"36,798",,272 ,,"36,410",,116,,"4,279",32,"689,248","80,144","8,600,099 ",Africa
Mayotte,28-02-2022,"36,662",,187 ,,"2,964",,"33,511",,"129,220",659,"176,919","623,576","283,717 ",Africa
Guinea,28-02-2022,"36,397",+4, 440 ,,"32,939",,"3,018",49,"2,652",32,"587,607","42,820","13,722,669 ",Africa
Faeroe Islands,28-02-2022,"34,237",,28 ,,"7,693",,"26,516",5,"696,284",569,"778,000","15,822,334","49,171 ",Europe
Aruba,28-02-2022,"33,684",+8,211 ,,"33,418",+12,55,6,"313,287","1,962","177,885","1,654,467","107,518 ",North America
Tanzania,28-02-2022,"33,620",,798 ,,N/A,N/A,N/A,7,537,13,,,"62,551,409 ",Africa
Bahamas,28-02-2022,"33,135",+6,771 ,,"26,221",,"6,143",9,"82,947","1,930","220,353","551,609","399,473 ",North America
Lesotho,28-02-2022,"32,612",,696 , ,"23,343",,"8,573",,"15,026",321,"398,053","183,401","2,170,402 ",Africa
Mauritius,28-02-2022,"31,731",+873,786 ,,"27,594",+586,"3,351",,"24,882",616,"358,675","281,255","1,275,267 ",Africa
Mali,28-02-2022,"30,381",+3,722 ,,"29,498",+28,161,,"1,432",34,"621,663","29,301","21,216,600 ",Africa
Haiti,28-02-2022,"30,342",,820 ,,"25,219",+9,"4,303",,"2,608",70,"132,422"," 11,383","11,632,922 ",North America
Benin,28-02-2022,"26,567",,163 ,,"25,506",,898,5,"2,100",13,"604,310","47,775","12,649,051 ",Africa
Somalia,28-02-2022,"26,313",,"1,348 ",," 13,182",,"11,783",,"1,583",81,"400,466","24,085","16,627,432 ",Africa
Congo,28-02-2022,"24,020",+53,378 ,,"20,178",,"3,464",,"4,182",66,"347,815","60,563","5,743,034 ",Africa
Isle of Man,28-02-2022,"22,844",+68,79 ,,"22,335",+20,430,,"266,312",921,"150,753","1,757,458","85,779 ",Europe
Saint Lucia,28-02-2022,"22,694",+27,358 ,,"22,180",+88,156,4,"122,658","1,935","135,644","733,139","185,018 ",North America
Timor-Leste,28-02-2022,"22,693",+25,128 ,,"22,140",+132,425,9,"16,685",94,"248,770","182,912","1,360,050 ",Asia
Burkina Faso,28-02-2022,"20,751",,375 ,," 20,309",,67,,950,17,"248,995","11,394","21,852,404 ",Africa
Taiwan,28-02-2022,"20,489",+56,853 ,,"18,386",+48,"1,250",,858,36,"11,589,121","485,139","23,888,249 ",Asia
Cayman Islands,28-02-2022,"19,373",,17 ,,"8,553",,"10,803",2,"289,145",254,"222,773","3,324,921","67,001 ",North America
Nicaragua,28-02-2022,"18,004",,220 ,,"4,225",,"13,559",,"2,665",33,,,"6,755,191 ",North America
Tajikistan,28-02-2022,"17,388",,124 ,,"17,263",,1,,"1,758",13,,,"9,892,489 ",Asia
South Sudan,28-02-2022,"16,973",+18,137 ,,"13,271",+21,"3,565",1,"1,487",12,"340,487","29,838","11,411,252 ",Africa
Equatorial Guinea,28-02-2022,"15,884",+7,182 ,,"15,664",+11,38,5,"10,738",123,"273,437","184,844","1,479,284 ",Africa
Djibouti,28-02-2022,"15,547",,189 ,,"15,352",,6,,"15,366",187,"285,109","281,781","1,011,811 ",Africa
Gibraltar,28-02-2022,"15,428",+115,101 ,,"14,832",+233,495,10,"458,158","2,999","514,605","15,281,968","33,674 ",Europe
San Marino,28-02-2022,"14,369",+162,112 ,,"13,994",+291,263,4,"422,009","3,289","136,485","4,008,488","34,049 ",Europe
CAR,28-02-2022,"14,225",+38,113 ,,"6,859", ,"7,253",2,"2,863",23,"81,294","16,361","4,968,909 ",Africa
Grenada,28-02-2022,"13,690",+11,216 ,,"13,336",+78,138,4,"120,737","1,905","136,411","1,203,057","113,387 ",North America
Bhutan,28-02-2022,"12,702",+508,6 ,,"8,291",+381,"4,405",,"16,167",8,"1,983,905","2,525,045","785,691 ",Asia
Liechtenstein,28-02-2022,"12,001",+93,78 ,,"11,485",+298,438,4,"313,268","2,036","80,413","2,099,063","38,309 ",Europe
Gambia,28-02-2022,"11,939",+15,365 ,,"11,559",+98,15,4,"4,721",144,"137,657","54,430","2,529,087 ",Africa
Yemen,28-02-2022,"11,771",+2,"2,135 ",+1,"8,693",+4,943,23,381,69,"265,253","8,580","30,914,094 ",Asia
Greenland,28-02-2022,"11,715",,18 ,+2,"2,761",,"8,936",7,"205,768",316,"164,926","2,896,844","56,933 ",North America
Bermuda,28-02-2022,"11,561",+71,123 ,,"11,271",+121,167,,"186,781","1,987","800,448","12,932,144","61,896 ",North America
Dominica,28-02-2022,"11,108",+92,57 ,,"10,712",+149,339,,"153,676",789,"167,204","2,313,218","72,282 ",North America
Saint Martin,28-02-2022,"9,877",,63 ,,"1,399",,"8,415",7,"248,422","1,585","78,366","1,971,025","39,759 ",North America
Eritrea,28-02-2022,"9,701",+1,103 ,," 9,594",+1,4,,"2,674",28,"23,693","6,531","3,627,768 ",Africa
Sint Maarten,28-02-2022,"9,561",+13,85 ,,"9,430",+10,46,10,"218,872","1,946","62,056","1,420,598","43,683 ",North America
Monaco,28-02-2022,"9,411",+34,51 ,,"9,190",+50,170,4,"237,035","1,285","54,960","1,384,278","39,703 ",Europe
Niger,28-02-2022,"8,754",+3,307 ,,"8,432",,15,1,341,12,"228,839","8,919"," 25,656,817 ",Africa
Comoros,28-02-2022,"8,033",,160 ,,"7,855",,18,,"8,923",178,,,"900,287 ",Africa
Guinea-Bissau,28-02-2022,"8,001",,167 ,,"6,978", ,856,6,"3,912",82,"123,632","60,455","2,045,041 ",Africa
Sierra Leone,28-02-2022,"7,665",,125 ,,N/A,N/A,N/A,,930,15,"259,958","31,526","8,245,724 ",Africa
 Caribbean Netherlands,28-02-2022,"7,575",+11,31 ,,"7,482",+38,62,,"284,486","1,164","30,126","1,131,408","26,627 ",North America
Antigua and Barbuda,28-02-2022,"7,437",,135 ,,"7,253",,49,1,"74,915","1,360","18,901","190,394","99,273  ",North America
Liberia,28-02-2022,"7,384",+24,294 ,+4,"5,747",,"1,343",2,"1,405",56,"139,824","26,610","5,254,574 ",Africa
Chad,28-02-2022,"7,255",+9,190 ,,"4,874", ,"2,191",,422,11,"191,341","11,120","17,206,283 ",Africa
Solomon Islands,28-02-2022,"7,049",+112,99 ,+3,"1,757",+25,"5,193",3,"9,862",139,"5,117","7,159","714,782 ",Australia/Oceania
St. Vincent Grenadines,28-02-2022,"6,740",+1,106 ,,"6,604",+13,30,,"60,435",950,"98,236","880,851","111,524 ",North America
British Virgin Islands,28-02-2022,"6,085",+11,62 ,,N/A,N/A,N/A,6,"199,084","2,028","99,936","3,269,622","30,565 ",North America
Sao Tome and Principe,28-02-2022,"5,934",,72 ,,"5,852",,10,,"26,268",319,"29,036","128,534","225,902 ",Africa
Turks and Caicos,28-02-2022,"5,867",,36 ,,"5,787",,44,4,"148,213",909,"419,792","10,604,825","39,585 ",North America
Saint Kitts and Nevis,28-02-2022,"5,530",,42 ,,"5,480",,8,1,"102,744",780,"65,141","1,210,282","53,823 ",North America
Palau,28-02-2022,"3,781",+55,6 ,,"3,140",+198,635,5,"207,326",329,"36,979","2,027,691","18,237 ",Australia/Oceania
St. Barth,28-02-2022,"3,758",,6 ,,N/A,N/A,N/A,,"378,564",604,"56,491","5,690,642"," 9,927 ",North America
Kiribati,28-02-2022,"2,914",,11 ,,"2,051",,852,4,"23,790",90,,,"122,486 ",Australia/Oceania
Anguilla,28-02-2022,"2,555",+27,9 ,,"2,528",+22,18,4,"167,816",591,"51,382","3,374,844","15,225 ",North America
Saint Pierre Miquelon,28-02-2022,"1,070",,1 ,,"1,049",,20,1,"186,184",174,"17,358","3,020,358","5,747 ",North America
Diamond Princess,28-02-2022,712,,13 ,,699,,0,,,,,, ,
Wallis and Futuna,28-02-2022,454,,7 ,,438,,9,,"41,602",641,"20,508","1,879,227","10,913 ", Australia/Oceania
Tonga,28-02-2022,355,, ,,177,,178,,"3,297",,,,"107,681 ",Australia/Oceania
Montserrat,28-02-2022,164,,2 ,,161,,1,,"32,820",400,"8,359","1,672,804","4,997 ",North America
Falkland Islands,28-02-2022,109,, ,,N/A,N/A,N/A,,"29,879",,"8,632","2,366,228","3,648 ",South America
Macao,28-02-2022, 81,, ,,79,,2,,122,,"5,318","8,009","664,005 ",Asia
Samoa,28-02-2022,33,, ,,3,,30,,165,,,,"200,600 ",Australia/Oceania
Vatican City,28-02-2022,29,, ,,28,,1,,"36,070",,,,804 ,Europe
Cook Islands,28-02-2022,25,, ,,4,,21,,"1,421",," 1,309","74,413","17,591 ",Australia/Oceania
Vanuatu,28-02-2022,18,,1 ,,6,,11,,56,3,"23,000","72,093","319,033 ",Australia/Oceania
Western Sahara,28-02-2022,10,,1 , ,8,,1,,16,2,,,"621,662 ",Africa
MS Zaandam,28-02-2022,9,,2 ,,7,,0,,,,,, ,
Marshall Islands,28-02-2022,7,, ,,7,,0,,117,,,,"59,852 ",Australia/Oceania
Saint Helena,28-02-2022,2,, ,,2,,0,,327,,,,"6,107  ",Africa
Micronesia,28-02-2022,1,, ,,1,,0,,9,,,,"117,022 ",Australia/Oceania
